City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
246,Lakatoro,VU,2021-01-23 00:42:58,-16.0999,167.4164,85.93,66,100,4.34
247,Phalodi,IN,2021-01-23 00:42:58,27.1333,72.3667,60.46,69,0,8.68
248,Nikolsk,RU,2021-01-23 00:42:58,53.7189,46.0712,29.32,99,100,6.44
249,Samarai,PG,2021-01-23 00:42:58,-10.6167,150.6667,85.84,68,46,8.19
250,Inta,RU,2021-01-23 00:42:58,66.0317,60.1659,-25.04,87,7,0.94
251,Terney,RU,2021-01-23 00:42:59,45.0503,136.6092,11.62,81,0,8.7
252,Shumyachi,RU,2021-01-23 00:42:59,53.8583,32.4242,33.49,96,100,10.47
253,Springdale,US,2021-01-23 00:42:59,36.1867,-94.1288,44.6,42,1,5.75
254,Micheweni,TZ,2021-01-23 00:42:59,-4.9667,39.8333,80.22,80,48,11.21
255,Silva Jardim,BR,2021-01-23 00:42:59,-22.6508,-42.3917,73.24,85,100,5.88
256,Tilichiki,RU,2021-01-23 00:42:59,60.4667,166.1,0.43,95,100,7.36
257,Bezopasnoye,RU,2021-01-23 00:43:00,45.6483,41.936,30.2,69,0,6.71
258,Juba,SS,2021-01-23 00:43:00,4.8517,31.5825,78.04,42,93,0.85
259,Concepcion,CL,2021-01-23 00:43:00,-36.827,-73.0498,62.6,77,0,13.8
260,Wuwei,CN,2021-01-23 00:43:00,37.9281,102.6414,27.48,68,0,1.07
261,Jutai,BR,2021-01-23 00:43:00,-5.1833,-68.9,74.82,95,100,0.83
262,Narsaq,GL,2021-01-23 00:43:00,60.9167,-46.05,21.2,58,0,3.44
263,Hutchinson,US,2021-01-23 00:39:13,38.0608,-97.9298,34.0,51,1,6.91
264,Marsa Matruh,EG,2021-01-23 00:43:01,31.3525,27.2453,56.77,58,97,5.37
265,Koraput,IN,2021-01-23 00:42:23,18.8167,82.7167,57.0,88,0,2.48
266,Taoudenni,ML,2021-01-23 00:43:01,22.6783,-3.9836,61.81,23,0,9.19
267,San Lorenzo,PY,2021-01-23 00:42:34,-25.3333,-57.5333,77.0,94,75,4.61
268,Pueblo,US,2021-01-23 00:43:01,38.2545,-104.6091,42.8,39,1,10.36
269,General Roca,AR,2021-01-23 00:43:01,-39.0333,-67.5833,98.6,22,0,6.91
270,Velsk,RU,2021-01-23 00:43:02,61.0701,42.0983,3.67,94,100,9.4
271,Northampton,US,2021-01-23 00:43:02,40.8754,-75.2499,33.01,79,0,7.92
272,Teruel,ES,2021-01-23 00:43:02,40.6667,-0.6667,41.0,75,0,19.57
273,Klaksvik,FO,2021-01-23 00:43:02,62.2266,-6.589,33.8,80,75,16.11
274,Shanghai,CN,2021-01-23 00:39:03,31.2222,121.4581,48.99,93,90,8.95
275,Akure,NG,2021-01-23 00:43:02,7.2526,5.1931,69.44,86,0,2.95
276,Olafsvik,IS,2021-01-23 00:43:02,64.8945,-23.7142,28.63,90,9,30.87
277,Aswan,EG,2021-01-23 00:39:01,24.0934,32.907,52.21,70,0,9.95
278,Havelock,US,2021-01-23 00:42:08,34.8791,-76.9013,50.0,61,1,5.75
279,Bathsheba,BB,2021-01-23 00:43:03,13.2167,-59.5167,77.0,83,20,18.41
280,The Valley,AI,2021-01-23 00:43:03,18.217,-63.0578,77.0,83,20,4.61
281,Kineshma,RU,2021-01-23 00:43:03,57.4391,42.1289,18.28,97,100,7.99
282,Khekra,IN,2021-01-23 00:43:03,28.8667,77.2833,52.14,46,0,7.92
283,Tasiilaq,GL,2021-01-23 00:43:04,65.6145,-37.6368,12.2,48,0,1.14
284,Naldurg,IN,2021-01-23 00:43:04,17.8167,76.3,66.99,60,1,6.33
285,Zyryanovsk,KZ,2021-01-23 00:43:04,49.7386,84.2719,-2.2,89,100,0.74
286,Saldanha,ZA,2021-01-23 00:43:04,-33.0117,17.9442,64.4,88,38,10.36
287,Hithadhoo,MV,2021-01-23 00:43:04,-0.6,73.0833,81.84,70,97,5.37
288,Asyut,EG,2021-01-23 00:43:04,27.181,31.1837,44.65,55,0,6.22
289,Harkany,HU,2021-01-23 00:43:05,45.85,18.2367,51.01,81,0,11.5
290,Knysna,ZA,2021-01-23 00:43:05,-34.0363,23.0471,66.2,100,90,4.61
291,Urumqi,CN,2021-01-23 00:38:09,43.801,87.6005,24.8,93,90,4.47
