City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
263,Kuusamo,FI,65.9667,29.1833,10.4,92,90,5.75,light snow
264,Sur,OM,22.5667,59.5289,69.13,45,0,16.35,clear sky
265,Grindavik,IS,63.8424,-22.4338,30.2,74,40,25.32,scattered clouds
266,Fortuna,US,40.5982,-124.1573,48.0,93,90,5.75,overcast clouds
267,Zakamensk,RU,50.3741,103.2863,10.44,90,100,2.68,light snow
268,Preili,LV,56.2944,26.7246,35.24,94,100,12.77,overcast clouds
269,Tasiilaq,GL,65.6145,-37.6368,12.2,52,21,3.44,few clouds
270,Kavieng,PG,-2.5744,150.7967,85.46,63,85,7.09,overcast clouds
271,Waw,SS,7.7029,27.9953,68.18,28,71,3.87,broken clouds
272,Miranda,CO,3.2499,-76.2281,68.0,88,0,5.75,light rain
273,Elizabeth City,US,36.2946,-76.2511,32.0,43,1,10.36,clear sky
274,Itaporanga,BR,-7.3044,-38.1503,71.85,83,84,4.56,broken clouds
275,Novyye Burasy,RU,52.1324,46.0714,32.47,98,100,9.24,light rain
276,Nanlong,CN,31.3533,106.0631,50.27,84,100,6.13,overcast clouds
277,Somerset,US,40.5668,-74.5496,24.8,46,1,9.22,clear sky
278,Lompoc,US,34.6391,-120.4579,48.2,81,40,4.61,scattered clouds
279,Geraldton,AU,-28.7667,114.6,77.0,53,12,13.8,few clouds
280,Clyde River,CA,70.4692,-68.5914,-4.0,84,1,2.3,clear sky
281,Denpasar,ID,-8.65,115.2167,86.0,74,40,9.22,scattered clouds
282,Vinh,VN,18.6667,105.6667,72.28,71,4,6.02,clear sky
283,Alofi,NU,-19.0595,-169.9187,84.2,70,99,6.91,overcast clouds
284,Asau,RO,46.4333,26.4,36.0,66,100,4.59,overcast clouds
285,Polunochnoye,RU,60.8697,60.4153,-24.47,87,100,5.19,light snow
286,Krasnoselkup,RU,65.7,82.4667,-42.05,76,0,5.1,clear sky
287,Ancud,CL,-41.8697,-73.8203,52.0,71,0,16.11,clear sky
288,Juneau,US,58.3019,-134.4197,33.8,86,90,16.11,light rain
289,Petropavl,KZ,54.8753,69.1628,-40.0,74,0,6.71,clear sky
290,Aswan,EG,24.0934,32.907,53.64,39,0,9.31,clear sky
291,Masuguru,TZ,-11.3667,38.4167,74.98,90,100,2.19,overcast clouds
292,Upington,ZA,-28.4478,21.2561,69.8,60,0,6.91,clear sky
293,Tampilisan,PH,8.0167,122.6833,82.83,71,100,8.41,overcast clouds
294,Pilar,BR,-9.5972,-35.9567,73.4,94,40,1.14,scattered clouds
